time,symbol,price
09:24:00,STOCK_5628,105.675
09:24:00,STOCK_3561,69.725
09:24:00,STOCK_5226,44.8
09:24:00,STOCK_4548,28.775
09:24:00,STOCK_4487,18.125
09:24:00,STOCK_5904,12.175
09:24:00,STOCK_5498,8.275
09:24:00,STOCK_3245,6.074999999999999
09:24:00,STOCK_4771,4.525
09:24:00,STOCK_4583,3.375
09:24:00,STOCK_4073,2.725
09:24:00,STOCK_5151,2.225
09:24:00,STOCK_4137,1.975
09:24:00,STOCK_4935,1.875
09:24:00,STOCK_4731,1.725
09:24:00,STOCK_4146,1.625
09:24:00,STOCK_3401,1.5750000000000002
09:24:00,STOCK_3682,1.475
09:24:00,STOCK_6061,2.725
09:24:00,STOCK_4239,2.925
09:24:00,STOCK_6078,3.075
09:24:00,STOCK_4518,3.325
09:24:00,STOCK_3213,3.525
09:24:00,STOCK_3660,3.775
09:24:00,STOCK_5375,4.0
09:24:00,STOCK_3666,4.375
09:24:00,STOCK_4427,4.725
09:24:00,STOCK_4381,5.475
09:24:00,STOCK_3683,6.375
09:24:00,STOCK_3887,7.375
09:24:00,STOCK_4917,8.975
09:24:00,STOCK_5265,11.075
09:24:00,STOCK_4310,14.075
09:24:00,STOCK_3130,18.45
09:24:00,STOCK_3584,24.25
09:24:00,STOCK_5150,32.75
09:24:00,STOCK_3228,44.55
09:24:00,STOCK_3896,62.85
09:24:00,STOCK_4890,88.925
09:24:00,STOCK_5050,126.175
09:24:00,STOCK_4154,176.025
09:24:00,STOCK_4949,240.3
09:24:00,STOCK_4783,315.95
09:24:00,STOCK_3870,399.7
09:24:00,STOCK_3177,488.8
09:24:00,STOCK_3439,582.525
09:24:00,STOCK_5282,678.7249999999999
09:24:00,STOCK_5440,776.25
09:24:00,STOCK_4144,874.575
09:24:00,STOCK_4781,973.425
09:24:00,STOCK_3954,1072.425
09:24:00,STOCK_4060,1173.25
09:24:00,STOCK_4993,1272.85
09:24:00,STOCK_4450,1371.725
09:24:00,STOCK_3138,1476.275
